,Name,Size,Place,Locality,City
0,1 BHK Villa ,600 sq ft,Indira New Town,Oragadam,Chennai
1,1 BHK Apartment ,631 sq ft,Sapthrishi asta AVM,Vadapalani,Chennai
2,2 BHK Apartment ,"1,100 sq ft", VM garden,Chengalpattu,Chennai
3, Residential Plot ,"2,357 sq ft",Ashok Metrovaram,Madhavaram,Chennai
4, Residential Plot ,"2,400 sq ft",Accord Cosmo City,Mevalurkuppam,Chennai
5,3 BHK Apartment ,910 sq ft,Chromepet,Chromepet,Chennai
6,3 BHK Apartment ,"1,540 sq ft",Golden Platinum 63,Anna Nagar,Chennai
7,2 BHK Apartment ,950 sq ft,Porur Link Rd,Porur Link Rd,Chennai
8, Residential Plot ,"2,341 sq ft",Jansen Srikrithi,Sholinganallur,Chennai
9,2 BHK Apartment ,"1,122 sq ft",Alliance Galleria Residences,Pallavaram,Chennai
10,1 BHK Apartment ,481 sq ft,Urbanrise Jubliee Residences,Guduvancheri,Chennai
11,2 BHK Apartment ,610 sq ft, Avadi Melpakkam Vgn,Avadi,Chennai
12,3 BHK Villa ,"1,591 sq ft", Aradhya Villa,East Tambaram,Chennai
13,2 BHK Villa ,750 sq ft,Indira New Town,Oragadam,Chennai
14,2 BHK Apartment ,835 sq ft,VS Madipakkam,Madipakkam,Chennai
15, Residential Plot ,599 sq ft, Sree Jayaram nagarthiruporur,Thirupporur,Chennai
16,3 BHK Villa ,"1,530 sq ft", MGP Daffodils,Sholinganallur,Chennai
17,3 BHK Apartment ,"1,308 sq ft",GP Pearl Iris,Ayapakkam,Chennai
18,3 BHK Apartment ,"1,443 sq ft",Embassy Residency,Perumbakkam,Chennai
19,3 BHK Villa ,994 sq ft, AMAZZE GREEN PARK VILLAS URAPAKKAM,Urapakkam,Chennai
